Community College of the Air Force,Montgomery,AL
Alabama A & M University,Normal,AL
University of Alabama at Birmingham,Birmingham,AL
Amridge University,Montgomery,AL
University of Alabama at Huntsville,Huntsville,AL
Alabama State University,Montgomery,AL
The University of Alabama,Tuscaloosa,AL
Central Alabama Community College,Alexander City,AL
Athens State University,Athens,AL
Auburn University-Montgomery,Montgomery,AL
Auburn University Main Campus,Auburn University,AL
Birmingham Southern College,Birmingham,AL
Chattahoochee Valley Community College,Phenix City,AL
Concordia College Alabama,Selma,AL
DCH Regional Medical Center,Tuscaloosa,AL
Enterprise State Community College,Enterprise,AL
James H. Faulkner State Community College,Bay Minette,AL
Faulkner University,Montgomery,AL
Gadsden Business College,Rainbow City,AL
Gadsden State Community College,Gadsden,AL
George C Wallace Community College - Dothan,Dothan,AL
Wallace State Community College  - Hanceville,Hanceville,AL
George Corley Wallace State Community College - Selma,Selma,AL
Huntingdon College,Montgomery,AL
Huntsville Hospital,Huntsville,AL
Heritage Christian University,Florence,AL
J.F. Drake State Community and Technical College,Huntsville,AL
J F Ingram State Technical College,Deatsville,AL
Jacksonville State University,Jacksonville,AL
Jefferson Davis Community College,Brewton,AL
Jefferson State Community College,Birmingham,AL
Calhoun Community College,Tanner,AL
Judson College,Marion,AL
University of West Alabama,Livingston,AL
Lurleen B Wallace Community College,Andalusia,AL
Marion Military Institute,Marion,AL
Miles College,Fairfield,AL
University of Mobile,Mobile,AL
University of Montevallo,Montevallo,AL
Northwest-Shoals Community College - Muscle Shoals,Muscle Shoals,AL
University of North Alabama,Florence,AL
Northeast Alabama Community College,Rainsville,AL
Northwest-Shoals Community College - Phil Campbell,Phil Campbell,AL
Oakwood University,Huntsville,AL
Alabama Southern Community College,Monroeville,AL
Prince Institute - Southeast,Elmhurst,IL
Reid State Technical College,Evergreen,AL
Bishop State Community College,Mobile,AL
Samford University,Birmingham,AL
Shelton State Community College,Tuscaloosa,AL
Snead State Community College,Boaz,AL
University of South Alabama,Mobile,AL
Southern Community College,Tuskegee,AL
Spring Hill College,Mobile,AL
Southeastern Bible College,Birmingham,AL
Stillman College,Tuscaloosa,AL
Talladega College,Talladega,AL
H. Councill Trenholm State Community College,Montgomery,AL
Troy University,Troy,AL
Tuskegee University,Tuskegee,AL
United States Sports Academy,Daphne,AL
Bevill State Community College,Sumiton,AL
University of Alaska Anchorage,Anchorage,AK
University of Alaska Fairbanks,Fairbanks,AK
University of Alaska Southeast,Juneau,AK
Alaska Pacific University,Anchorage,AK
AVTEC - Alaska's Institute of Technology,Seward,AK
Charter College,Anchorage,AK
Prince William Sound Community College,Valdez,AK
Sheldon Jackson College,Sitka,AK
Alaska Career College,Anchorage,AK
Everest College - Phoenix,Phoenix,AZ
Thunderbird School of Global Management,Glendale,AZ
American Indian College,Phoenix,AZ
American Institute of Trucking,Phoenix,AZ
Carrington College - Phoenix,Phoenix,AZ
